"date","geography","geography code","Number of households: Number of households; measures: Value"
"2021","E00060866","E00060866",105
"2021","E00060875","E00060875",157
"2021","E00060877","E00060877",62
"2021","E00174112","E00174112",114
"2021","E00174119","E00174119",113
"2021","E00060986","E00060986",194
"2021","E00060987","E00060987",143
"2021","E00060990","E00060990",144
"2021","E00174110","E00174110",52
"2021","E00174111","E00174111",99
"2021","E00060989","E00060989",138
"2021","E00060991","E00060991",123
"2021","E00060992","E00060992",137
"2021","E00060993","E00060993",141
"2021","E00060997","E00060997",151
"2021","E00060869","E00060869",160
"2021","E00060871","E00060871",122
"2021","E00060873","E00060873",131
"2021","E00188254","E00188254",133
"2021","E00188282","E00188282",132
"2021","E00060867","E00060867",136
"2021","E00060868","E00060868",165
"2021","E00060874","E00060874",208
"2021","E00060878","E00060878",140
"2021","E00060984","E00060984",178
"2021","E00188220","E00188220",113
"2021","E00188234","E00188234",147
"2021","E00188239","E00188239",126
"2021","E00188265","E00188265",130
"2021","E00060988","E00060988",124
"2021","E00060995","E00060995",138
"2021","E00060998","E00060998",158
"2021","E00060812","E00060812",149
"2021","E00060826","E00060826",107
"2021","E00060828","E00060828",124
"2021","E00060829","E00060829",118
"2021","E00060830","E00060830",135
"2021","E00060832","E00060832",140
"2021","E00060810","E00060810",112
"2021","E00060824","E00060824",177
"2021","E00060825","E00060825",115
"2021","E00060827","E00060827",159
"2021","E00174106","E00174106",215
"2021","E00060813","E00060813",113
"2021","E00060815","E00060815",102
"2021","E00060817","E00060817",116
"2021","E00060820","E00060820",117
"2021","E00060822","E00060822",123
"2021","E00060831","E00060831",118
"2021","E00060811","E00060811",132
"2021","E00060814","E00060814",117
"2021","E00060818","E00060818",66
"2021","E00060819","E00060819",69
"2021","E00060821","E00060821",117
"2021","E00060701","E00060701",129
"2021","E00060702","E00060702",140
"2021","E00060709","E00060709",141
"2021","E00060711","E00060711",123
"2021","E00060726","E00060726",92
"2021","E00060704","E00060704",133
"2021","E00060705","E00060705",122
"2021","E00060706","E00060706",127
"2021","E00060708","E00060708",134
"2021","E00060717","E00060717",134
"2021","E00060699","E00060699",126
"2021","E00060710","E00060710",113
"2021","E00060715","E00060715",128
"2021","E00060716","E00060716",121
"2021","E00060720","E00060720",114
"2021","E00060707","E00060707",143
"2021","E00060712","E00060712",164
"2021","E00060727","E00060727",139
"2021","E00060728","E00060728",140
"2021","E00060713","E00060713",113
"2021","E00060714","E00060714",110
"2021","E00060718","E00060718",98
"2021","E00060719","E00060719",125
"2021","E00060721","E00060721",127
"2021","E00060703","E00060703",143
"2021","E00060722","E00060722",123
"2021","E00060723","E00060723",143
"2021","E00060725","E00060725",130
"2021","E00174116","E00174116",70
"2021","E00060896","E00060896",118
"2021","E00060900","E00060900",130
"2021","E00060901","E00060901",121
"2021","E00060903","E00060903",124
"2021","E00060914","E00060914",132
"2021","E00060897","E00060897",112
"2021","E00060899","E00060899",115
"2021","E00060902","E00060902",137
"2021","E00060904","E00060904",126
"2021","E00060913","E00060913",132
"2021","E00060905","E00060905",119
"2021","E00060906","E00060906",59
"2021","E00060909","E00060909",112
"2021","E00060910","E00060910",115
"2021","E00060911","E00060911",109
"2021","E00060898","E00060898",121
"2021","E00060907","E00060907",140
"2021","E00060908","E00060908",133
"2021","E00060912","E00060912",122
"2021","E00060915","E00060915",136
"2021","E00060976","E00060976",116
"2021","E00060981","E00060981",125
"2021","E00060982","E00060982",128
"2021","E00188218","E00188218",134
"2021","E00188221","E00188221",152
"2021","E00060916","E00060916",136
"2021","E00060925","E00060925",110
"2021","E00060926","E00060926",126
"2021","E00060927","E00060927",126
"2021","E00060930","E00060930",132
"2021","E00060917","E00060917",113
"2021","E00060921","E00060921",125
"2021","E00060922","E00060922",130
"2021","E00060923","E00060923",169
"2021","E00060929","E00060929",147
"2021","E00060931","E00060931",117
"2021","E00060932","E00060932",121
"2021","E00060933","E00060933",118
"2021","E00060918","E00060918",114
"2021","E00060919","E00060919",130
"2021","E00060920","E00060920",100
"2021","E00060924","E00060924",186
"2021","E00060928","E00060928",134
"2021","E00060659","E00060659",123
"2021","E00060660","E00060660",114
"2021","E00060661","E00060661",157
"2021","E00060663","E00060663",122
"2021","E00188237","E00188237",141
"2021","E00188241","E00188241",162
"2021","E00060664","E00060664",177
"2021","E00060665","E00060665",240
"2021","E00060666","E00060666",183
"2021","E00060668","E00060668",132
"2021","E00060669","E00060669",154
"2021","E00060651","E00060651",192
"2021","E00060652","E00060652",127
"2021","E00060656","E00060656",143
"2021","E00060667","E00060667",124
"2021","E00174108","E00174108",186
"2021","E00174109","E00174109",131
"2021","E00060598","E00060598",107
"2021","E00060600","E00060600",117
"2021","E00060602","E00060602",116
"2021","E00060610","E00060610",136
"2021","E00060611","E00060611",120
"2021","E00060612","E00060612",133
"2021","E00060596","E00060596",164
"2021","E00060601","E00060601",126
"2021","E00060606","E00060606",74
"2021","E00060607","E00060607",92
"2021","E00060608","E00060608",105
"2021","E00060609","E00060609",145
"2021","E00060613","E00060613",128
"2021","E00060595","E00060595",122
"2021","E00060597","E00060597",121
"2021","E00060599","E00060599",116
"2021","E00060603","E00060603",110
"2021","E00060604","E00060604",137
"2021","E00060605","E00060605",123
"2021","E00060970","E00060970",115
"2021","E00060972","E00060972",127
"2021","E00060973","E00060973",111
"2021","E00060974","E00060974",118
"2021","E00060975","E00060975",191
"2021","E00060965","E00060965",128
"2021","E00060966","E00060966",143
"2021","E00060971","E00060971",159
"2021","E00060977","E00060977",102
"2021","E00060979","E00060979",155
"2021","E00060967","E00060967",227
"2021","E00060968","E00060968",126
"2021","E00060969","E00060969",127
"2021","E00060978","E00060978",109
"2021","E00060983","E00060983",123
"2021","E00060576","E00060576",127
"2021","E00060579","E00060579",151
"2021","E00060590","E00060590",185
"2021","E00060591","E00060591",144
"2021","E00060592","E00060592",124
"2021","E00060593","E00060593",128
"2021","E00060574","E00060574",126
"2021","E00060575","E00060575",129
"2021","E00060577","E00060577",124
"2021","E00060578","E00060578",123
"2021","E00060594","E00060594",135
"2021","E00060584","E00060584",123
"2021","E00060586","E00060586",118
"2021","E00060587","E00060587",116
"2021","E00060588","E00060588",111
"2021","E00060589","E00060589",146
"2021","E00060580","E00060580",91
"2021","E00060581","E00060581",146
"2021","E00060582","E00060582",131
"2021","E00060583","E00060583",138
"2021","E00060585","E00060585",123
"2021","E00060785","E00060785",124
"2021","E00060786","E00060786",149
"2021","E00060793","E00060793",118
"2021","E00060796","E00060796",124
"2021","E00060797","E00060797",120
"2021","E00060787","E00060787",131
"2021","E00060790","E00060790",127
"2021","E00060795","E00060795",132
"2021","E00060805","E00060805",123
"2021","E00060808","E00060808",124
"2021","E00060788","E00060788",125
"2021","E00060789","E00060789",221
"2021","E00060791","E00060791",126
"2021","E00060792","E00060792",155
"2021","E00060794","E00060794",135
"2021","E00060798","E00060798",180
"2021","E00060799","E00060799",156
"2021","E00060800","E00060800",130
"2021","E00060802","E00060802",121
"2021","E00174113","E00174113",133
"2021","E00174114","E00174114",168
"2021","E00174115","E00174115",104
"2021","E00060803","E00060803",158
"2021","E00060804","E00060804",128
"2021","E00060806","E00060806",132
"2021","E00060807","E00060807",214
"2021","E00060809","E00060809",117
"2021","E00060935","E00060935",114
"2021","E00060936","E00060936",125
"2021","E00060937","E00060937",137
"2021","E00060945","E00060945",127
"2021","E00060947","E00060947",141
"2021","E00060938","E00060938",134
"2021","E00060948","E00060948",132
"2021","E00060950","E00060950",123
"2021","E00060952","E00060952",124
"2021","E00060953","E00060953",129
"2021","E00060934","E00060934",121
"2021","E00060939","E00060939",123
"2021","E00060943","E00060943",135
"2021","E00060949","E00060949",117
"2021","E00060951","E00060951",103
"2021","E00060954","E00060954",127
"2021","E00060940","E00060940",147
"2021","E00060941","E00060941",116
"2021","E00060942","E00060942",121
"2021","E00060944","E00060944",128
"2021","E00060946","E00060946",124
"2021","E00060615","E00060615",122
"2021","E00060620","E00060620",127
"2021","E00060625","E00060625",125
"2021","E00174107","E00174107",101
"2021","E00174117","E00174117",79
"2021","E00174118","E00174118",91
"2021","E00060616","E00060616",72
"2021","E00060619","E00060619",123
"2021","E00060628","E00060628",123
"2021","E00060629","E00060629",104
"2021","E00060631","E00060631",138
"2021","E00060614","E00060614",124
"2021","E00060618","E00060618",105
"2021","E00060622","E00060622",134
"2021","E00060627","E00060627",113
"2021","E00060630","E00060630",122
"2021","E00060617","E00060617",122
"2021","E00060621","E00060621",140
"2021","E00060623","E00060623",126
"2021","E00060624","E00060624",144
"2021","E00060558","E00060558",139
"2021","E00060559","E00060559",126
"2021","E00060561","E00060561",134
"2021","E00060562","E00060562",120
"2021","E00060572","E00060572",129
"2021","E00060556","E00060556",131
"2021","E00060565","E00060565",135
"2021","E00060567","E00060567",135
"2021","E00060568","E00060568",138
"2021","E00060566","E00060566",128
"2021","E00060569","E00060569",164
"2021","E00060570","E00060570",146
"2021","E00060571","E00060571",190
"2021","E00060573","E00060573",193
"2021","E00060557","E00060557",133
"2021","E00060560","E00060560",140
"2021","E00060563","E00060563",153
"2021","E00060564","E00060564",123
"2021","E00060757","E00060757",137
"2021","E00060758","E00060758",136
"2021","E00060759","E00060759",131
"2021","E00060760","E00060760",126
"2021","E00060762","E00060762",112
"2021","E00188211","E00188211",148
"2021","E00188224","E00188224",157
"2021","E00060751","E00060751",106
"2021","E00060763","E00060763",114
"2021","E00060764","E00060764",117
"2021","E00060765","E00060765",120
"2021","E00060766","E00060766",122
"2021","E00060750","E00060750",130
"2021","E00060752","E00060752",132
"2021","E00060753","E00060753",119
"2021","E00060754","E00060754",128
"2021","E00060755","E00060755",122
"2021","E00060756","E00060756",122
"2021","E00060778","E00060778",103
"2021","E00060780","E00060780",125
"2021","E00060781","E00060781",120
"2021","E00060782","E00060782",128
"2021","E00060784","E00060784",134
"2021","E00060767","E00060767",121
"2021","E00060768","E00060768",128
"2021","E00060769","E00060769",125
"2021","E00060770","E00060770",117
"2021","E00060771","E00060771",120
"2021","E00060772","E00060772",131
"2021","E00060773","E00060773",123
"2021","E00060774","E00060774",120
"2021","E00060775","E00060775",126
"2021","E00060776","E00060776",129
"2021","E00060777","E00060777",133
"2021","E00060779","E00060779",137
"2021","E00060783","E00060783",131
"2021","E00060633","E00060633",111
"2021","E00060637","E00060637",127
"2021","E00060641","E00060641",122
"2021","E00060646","E00060646",126
"2021","E00188215","E00188215",128
"2021","E00188245","E00188245",138
"2021","E00188281","E00188281",123
"2021","E00188293","E00188293",143
"2021","E00188312","E00188312",139
"2021","E00060635","E00060635",132
"2021","E00060638","E00060638",135
"2021","E00060639","E00060639",130
"2021","E00060640","E00060640",159
"2021","E00060643","E00060643",188
"2021","E00060644","E00060644",186
"2021","E00060645","E00060645",116
"2021","E00060648","E00060648",128
"2021","E00060649","E00060649",134
"2021","E00060650","E00060650",124
"2021","E00060632","E00060632",127
"2021","E00060634","E00060634",130
"2021","E00060636","E00060636",131
"2021","E00060647","E00060647",135
"2021","E00060852","E00060852",119
"2021","E00060860","E00060860",144
"2021","E00060861","E00060861",125
"2021","E00060862","E00060862",121
"2021","E00060863","E00060863",119
"2021","E00060864","E00060864",208
"2021","E00060848","E00060848",205
"2021","E00060849","E00060849",139
"2021","E00060850","E00060850",136
"2021","E00060851","E00060851",123
"2021","E00060853","E00060853",126
"2021","E00060854","E00060854",131
"2021","E00060855","E00060855",127
"2021","E00060856","E00060856",123
"2021","E00060857","E00060857",122
"2021","E00060858","E00060858",118
"2021","E00060859","E00060859",121
"2021","E00060732","E00060732",114
"2021","E00060733","E00060733",124
"2021","E00060734","E00060734",110
"2021","E00060735","E00060735",107
"2021","E00060736","E00060736",124
"2021","E00060737","E00060737",141
"2021","E00060729","E00060729",104
"2021","E00060730","E00060730",127
"2021","E00060731","E00060731",119
"2021","E00060739","E00060739",138
"2021","E00060740","E00060740",121
"2021","E00060738","E00060738",115
"2021","E00060741","E00060741",134
"2021","E00060745","E00060745",143
"2021","E00060748","E00060748",138
"2021","E00060749","E00060749",123
"2021","E00060742","E00060742",112
"2021","E00060743","E00060743",108
"2021","E00060744","E00060744",142
"2021","E00060746","E00060746",122
"2021","E00060747","E00060747",126
"2021","E00060955","E00060955",114
"2021","E00060956","E00060956",92
"2021","E00060957","E00060957",135
"2021","E00060958","E00060958",178
"2021","E00060959","E00060959",147
"2021","E00060960","E00060960",131
"2021","E00060961","E00060961",134
"2021","E00188195","E00188195",142
"2021","E00188319","E00188319",145
"2021","E00188331","E00188331",144
"2021","E00060962","E00060962",110
"2021","E00188176","E00188176",114
"2021","E00188190","E00188190",114
"2021","E00188249","E00188249",130
"2021","E00188258","E00188258",105
"2021","E00060670","E00060670",128
"2021","E00060674","E00060674",110
"2021","E00060675","E00060675",121
"2021","E00060676","E00060676",139
"2021","E00060696","E00060696",135
"2021","E00060690","E00060690",150
"2021","E00060691","E00060691",134
"2021","E00060694","E00060694",124
"2021","E00060697","E00060697",214
"2021","E00060698","E00060698",129
"2021","E00060673","E00060673",95
"2021","E00060679","E00060679",130
"2021","E00060681","E00060681",200
"2021","E00060685","E00060685",195
"2021","E00060671","E00060671",131
"2021","E00060677","E00060677",129
"2021","E00060678","E00060678",111
"2021","E00060682","E00060682",124
"2021","E00060684","E00060684",131
"2021","E00060680","E00060680",109
"2021","E00060683","E00060683",126
"2021","E00060686","E00060686",131
"2021","E00060687","E00060687",101
"2021","E00060688","E00060688",87
"2021","E00060672","E00060672",128
"2021","E00060689","E00060689",142
"2021","E00060692","E00060692",127
